Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE Â° N),CORDINATES (LONGITUDE Â° E),Year,Incidence_Rate,POPULATION DENSITY
Karamoja,Abim District,12,18,30,14866,8361,23227,15518,7577,23095,7392,5695,13087,11752,10340,22092,12,17,29,14735,8130,22865,15190,7360,22550,11514,10145,21659,7237,5636,12873,79976,12,17,29,14458,7894,22352,14952,7274,22226,11251,31168,42419,7067,5481,12548,536,984,1520,49540,31991,81531,11764,10358,22122,2301,136003.4758,59.10624763,2.7067,33.6595,2022,588.0437947,59.10624763
Acholi,Acholi,528,487,1015,336742,203007,539749,324222,111643,435865,156180,125614,281794,187170,174204,361374,466,410,876,326828,197006,523834,306880,105579,412459,179729,166457,346186,150715,120981,271696,1555051,464,406,870,327334,196300,523634,305604,104650,410254,179045,475696,654741,150506,120763,271269,10452,21750,32202,1004842,614955,1619797,187698,174691,362389,28522,1921796.575,67.37944658,0,0,2022,809.1652468,67.37944657
West Nile,Adjumani District,170,162,332,68105,51850,119955,75937,29015,104952,37659,31743,69402,45574,42210,87784,170,162,332,66636,50713,117349,62492,28457,90949,44911,44037,88948,36418,30728,67146,364724,170,162,332,72830,50130,122960,60722,27859,88581,44159,120479,164638,36131,30304,66435,1243,3595,4838,227445,154980,382425,45744,42372,88116,2301,136003.4758,59.10624763,3.2549,31.7195,2022,2681.72558,59.10624763
Acholi,Agago District,24,25,49,66729,39309,106038,63923,19430,83353,25713,19917,45630,27137,25047,52184,23,22,45,66427,39161,105588,61789,19221,81010,26946,24737,51683,25618,19859,45477,283803,23,22,45,66145,39030,105175,61485,19145,80630,26788,74984,101772,25483,19771,45254,1510,3253,4763,183526,103728,287254,27161,25072,52233,3493,289390.4829,82.8486925,2.9251,0,2022,980.6922369,82.8486925
Lango,Alebtong District,37,33,70,24525,11600,36125,32950,8406,41356,14516,11030,25546,21087,19353,40440,35,32,67,24524,11600,36124,32952,8394,41346,21087,19353,40440,14516,11030,25546,143523,35,32,67,24156,11433,35589,32709,8262,40971,20824,50983,71807,14181,10852,25033,1438,3262,4700,93115,50422,143537,21124,19386,40510,1534,271309.7571,176.8642484,2.2914,33.2139,2022,529.0005105,176.8642484
Lango,Amolatar District,39,29,68,25155,14615,39770,25095,9230,34325,12451,10433,22884,12335,11452,23787,38,29,67,25149,14604,39753,24992,9220,34212,12216,11452,23668,12447,10433,22880,120580,38,29,67,25044,14566,39610,24918,9194,34112,12149,35078,47227,12401,10380,22781,728,1707,2435,75075,45759,120834,12374,11481,23855,1163,179558.7752,154.392756,1.6054,32.8084,2022,671.5349883,154.392756
Karamoja,Amudat District,41,25,66,3031,2584,5615,7127,2446,9573,2718,2272,4990,3831,3784,7615,31,17,48,2905,2511,5416,6497,2292,8789,3455,3406,6861,2587,2191,4778,25892,41,22,63,2791,2401,5192,6110,2193,8303,3259,9107,12366,2470,2053,4523,117,466,583,16748,11111,27859,3872,3809,7681,1616,178435.2646,110.4178618,1.7916,34.9066,2022,145.1058459,110.4178618
Teso,Amuria District,21,22,43,26514,13970,40484,29028,9575,38603,12123,9153,21276,11283,10812,22095,21,20,41,26509,13939,40448,29128,9568,38696,11276,10812,22088,12092,9131,21223,122496,20,20,40,26242,13771,40013,28877,9522,38399,11206,33447,44653,12004,9060,21064,808,1643,2451,78969,43532,122501,11304,10834,22138,1383,236209.2633,170.7948397,2.0302,33.6428,2022,518.5910082,170.7948397
Acholi,Amuru District,33,31,64,35650,19142,54792,33684,12328,46012,17436,13288,30724,21773,19807,41580,31,30,61,34679,18759,53438,32197,12009,44206,21278,19198,40476,17007,12957,29964,168145,32,30,62,34625,18756,53381,32426,12002,44428,21008,55032,76040,17007,12931,29938,1054,1930,2984,108576,64596,173172,21806,19838,41644,3619,233986.623,64.65504917,3.1042,32.0837,2022,718.6094566,64.65504918
Ankole,Ankole,1068,960,2028,122578,104334,226912,178923,116029,294952,60072,50931,111003,54883,49542,104425,1050,934,1984,115654,99433,215087,162090,104303,266393,50043,45214,95257,56583,48116,104699,683420,1026,928,1954,116800,99887,216687,167291,108862,276153,51948,228777,280725,57456,48767,106223,1578,5643,7221,417524,321796,739320,55951,50502,106453,15067,3453465.076,229.2072129,0,0,2022,197.8939949,229.2072128
Lango,Apac District,28,41,69,31026,17233,48259,33367,14279,47646,11887,9089,20976,13476,12223,25699,28,38,66,30924,17172,48096,33069,13886,46955,13397,12119,25516,11858,9076,20934,141567,28,38,66,30649,17027,47676,32685,13773,46458,13275,42289,55564,11762,8976,20738,1250,2458,3708,89784,52865,142649,13504,12264,25768,1783,214095.8747,120.0762057,1.8445,32.4014,2022,661.2317972,120.0762057
West Nile,Arua City,82,58,140,14319,8357,22676,22166,11582,33748,7038,5689,12727,8422,8439,16861,70,49,119,13561,7549,21110,20188,10228,30416,7696,7623,15319,6361,5068,11429,78393,64,48,112,13806,8064,21870,21598,11366,32964,8425,30762,39187,6745,5371,12116,1220,3087,4307,52027,34125,86152,8504,8497,17001,404,368183.4989,911.3452943,3.0274,30.9071,2022,212.9182873,911.3452943
West Nile,Arua District,9,4,13,9252,5124,14376,6966,2872,9838,3969,3123,7092,3646,3368,7014,9,4,13,9180,5069,14249,6841,2815,9656,3601,3309,6910,3927,3059,6986,37814,9,4,13,8971,5000,13971,6843,2819,9662,3599,10421,14020,3883,3042,6925,219,437,656,23842,14491,38333,3655,3372,7027,800,154102.67,192.6283375,3.0018,30.9876,2022,245.3818613,192.6283375
Bukedi,Budaka District,39,19,58,27195,13972,41167,35869,10213,46082,20956,16406,37362,30450,27405,57855,41,19,60,27198,13954,41152,35851,10208,46059,30315,28250,58565,20877,16338,37215,183051,38,17,55,26234,13352,39586,34437,9899,44336,28867,69840,98707,19935,15661,35596,1910,4335,6245,114509,68015,182524,30489,27424,57913,410,264894.2904,646.0836351,1.1005,34.0196,2022,691.034147,646.0836351
Bugisu,Bududa District,6,2,8,5209,3919,9128,7068,4238,11306,2448,2016,4464,2652,2482,5134,6,2,8,5209,3919,9128,7066,4235,11301,2653,2481,5134,2442,2016,4458,30029,6,2,8,5056,3805,8861,6881,4100,10981,2595,9670,12265,2368,1950,4318,334,717,1051,17383,12657,30040,2658,2484,5142,318,40576.8621,127.6001953,1.003,34.3338,2022,740.0522969,127.6001953
Busoga,Bugiri District,71,46,117,26836,15401,42237,41132,14241,55373,23628,19191,42819,30692,28567,59259,71,46,117,26664,15531,42195,40725,14091,54816,30512,28383,58895,23519,19067,42586,198609,71,46,117,26680,15335,42015,40813,14114,54927,30495,78846,109341,23459,19050,42509,2505,3281,5786,122359,77446,199805,30763,28613,59376,1033,459052.8011,444.3879972,0.5316,0,2022,432.6495765,444.3879972
Bugisu,Bugisu,129,84,213,71866,54837,126703,123027,68812,191839,39830,33250,73080,54713,47488,102201,123,114,237,69371,49164,118535,116185,65147,181332,52723,45777,98500,38371,35124,73495,472099,119,66,185,67980,48131,116111,113967,64067,178034,51729,175702,227431,37455,34187,71642,4867,9178,14045,289565,204471,494036,54842,47572,102414,2447,1749813.851,715.0853498,1.0783,34.1737,2022,269.799556,715.0853498
Busoga,Bugweri District,152,156,308,14011,8785,22796,22661,8979,31640,10479,8668,19147,13869,12502,26371,152,156,308,14045,8674,22719,22116,8772,30888,13568,12235,25803,10333,8557,18890,98608,159,164,323,13522,8514,22036,21601,8652,30253,13365,37025,50390,10127,8360,18487,908,1815,2723,61172,39090,100262,14021,12658,26679,302,201234.8171,666.340454,0.6116,33.5952,2022,490.0146079,666.340454
Ankole,Buhweju District,1,0,1,830,820,1650,1191,922,2113,552,368,920,403,338,741,1,0,1,809,815,1624,1137,901,2038,377,325,702,545,365,910,5275,1,0,1,795,811,1606,1114,874,1988,375,1728,2103,544,362,906,7,52,59,2977,2448,5425,404,338,742,751,99183.59711,132.0687045,0.3558,30.3897,2022,53.18419732,132.0687045
North Central,Buikwe District,76,61,137,20672,16160,36832,30087,20703,50790,14009,11792,25801,15731,14185,29916,46,48,94,19713,15540,35253,28285,19889,48174,14924,13513,28437,13420,11273,24693,136651,48,47,95,19678,15504,35182,28070,19819,47889,14883,52093,66976,13417,11275,24692,1077,2773,3850,80575,62901,143476,15807,14246,30053,1270,499032.9978,392.9393684,0.2827,0,2022,273.8315915,392.9393683
Teso,Bukedea District,131,83,214,21816,10702,32518,30448,10575,41023,11355,7891,19246,13957,11909,25866,123,75,198,21666,10640,32306,29897,10411,40308,13882,11761,25643,11284,7851,19135,117590,116,73,189,21552,10525,32077,29736,10297,40033,13588,39497,53085,11138,7758,18896,1101,2723,3824,77707,41160,118867,14088,11992,26080,1032,264860.8067,256.6480685,1.3557,34.1087,2022,443.9690472,256.6480685
Bukedi,Bukedi,820,647,1467,240021,137378,377399,308603,103104,411707,170583,136474,307057,224668,198757,423425,820,637,1457,231848,132100,363948,300674,100307,400981,234385,194815,429200,165564,131923,297487,1493073,797,632,1429,232613,133033,365646,300107,100035,400142,216587,554429,771016,165707,131996,297703,11132,23134,34266,944695,576360,1521055,225488,199404,424892,4504,2264958.695,502.8771526,0,0,2022,659.2053989,502.8771525
