Region,District, 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE ,10-19 YEARS MALE ,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE ,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE, 20+ (B/S & RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
Karamoja,Abim District,6,7,13,13832,7550,21382,13164,6351,19515,5904,4589,10493,9173,8755,17928,6,7,13,13650,7481,21131,12818,6231,19049,9042,8597,17639,5823,4533,10356,68188,4533,7,4540,4533,7335,11868,12598,6130,18728,7,8448,8455,5707,4429,10136,470,887,1357,42079,27252,69331,9230,8762,17992,107966,144084,2301,1.029278437,139985.445,60.83678617,2.7067,33.6595
Acholi,Acholi,383,335,718,298281,181956,480237,277994,94253,372247,130518,105993,236511,159568,151108,310676,362,311,673,287046,171854,458900,268029,89883,357912,155294,146676,301970,125877,101700,227577,1347032,101700,305,102005,101700,188280,289980,269770,90483,360253,305,147953,148258,127927,103749,231676,9068,19287,28355,866744,533645,1400389,134839,151443,286282,1500762,2044355,28522,1.031393639,1982128.764,69.49473263,,
West Nile,Adjumani District,20,16,36,54336,42042,96378,48505,22245,70750,29568,24849,54417,29881,29245,59126,70,15,85,53366,41269,94635,46975,21469,68444,29251,28523,57774,28749,24483,53232,274170,24483,15,24498,24483,41229,65712,47130,21390,68520,15,28460,28475,28619,24463,53082,1271,3501,4772,162310,118397,280707,11955,29261,41216,107966,144084,2301,1.029278437,139985.445,60.83678617,3.2549,31.7195
Acholi,Agago District,28,29,57,56351,32883,89234,53613,15373,68986,23601,18351,41952,27579,26071,53650,26,29,55,56222,32768,88990,53403,15308,68711,27528,26022,53550,23488,18334,41822,253128,18334,29,18363,18334,32478,50812,53043,15220,68263,29,25763,25792,23432,18208,41640,1344,3064,4408,161172,92707,253879,24266,26100,50366,227792,307235,3493,1.03037004,298179.2833,85.36481058,2.9251, 33.3486
Lango,Alebtong District,9,16,25,19726,9110,28836,24342,6595,30937,9321,7031,16352,12591,11506,24097,9,16,25,19725,9110,28835,24360,6590,30950,12562,11484,24046,9319,7031,16350,100206,7031,16,7047,7031,9044,16075,24079,6525,30604,16,11391,11407,9231,6979,16210,1586,3373,4959,65989,34258,100247,12061,11522,23583,227541,283509,1534,1.022234935,277342.3118,180.7968134,2.2914,33.2139
Lango,Amolatar District,15,10,25,18021,10214,28235,16716,6757,23473,7340,5927,13267,7572,7106,14678,15,10,25,17870,10137,28007,16512,6699,23211,7475,6963,14438,7292,5894,13186,78867,5894,10,5904,5894,9995,15889,16216,6601,22817,10,6854,6864,7201,5823,13024,751,1747,2498,49664,30014,79678,4552,7116,11668,147166,188715,1163,1.025179454,184079.967,158.2802812,1.6054,32.8084
Karamoja,Amudat District,1,1,2,2990,2585,5575,7862,2716,10578,2190,2095,4285,3109,2927,6036,1,1,2,2917,2551,5468,7574,2631,10205,2947,2783,5730,2096,2030,4126,25531,2030,1,2031,2030,2561,4591,7636,2621,10257,1,2783,2784,2096,2029,4125,134,405,539,16152,10324,26476,3084,2928,6012,105769,203358,1616,1.067555067,190489.471,117.8771479,1.7916,34.9066
Teso,Amuria District,40,20,60,25010,13545,38555,26440,8430,34870,10901,8090,18991,11162,10352,21514,40,19,59,24989,13542,38531,26438,8430,34868,11161,10354,21515,10889,8079,18968,113941,8079,19,8098,8079,13403,21482,26381,8417,34798,19,10297,10316,10820,7948,18768,977,2113,3090,73553,40437,113990,10400,10372,20772,183348,251653,1383,1.032173235,243808.8795,176.2898623,2.0302,33.6428
Acholi,Amuru District,50,27,77,25177,13507,38684,23821,8724,32545,10643,8214,18857,14494,14057,28551,50,27,77,24979,13442,38421,23307,8657,31964,14378,13926,28304,10554,8164,18718,117484,8164,27,8191,8164,13253,21417,23001,8556,31557,27,13619,13646,10381,8012,18393,814,1408,2222,74185,44529,118714,11240,14084,25324,186696,247574,3619,1.028624826,240684.4494,66.50578873,3.1042,32.0837
Ankole,Ankole,295,214,509,96857,83971,180828,123498,80621,204119,43580,38484,82064,37070,33898,70968,264,191,455,93086,81739,174825,118493,77640,196133,35199,32184,67383,41914,36836,78750,517546,36836,188,37024,36836,80352,117188,116568,76618,193186,188,31499,31687,40965,36032,76997,1569,5402,6971,301300,237188,538488,24994,34112,59106,2895631,3608968,15067,1.022266152,3530360.456,234.3107756,,
