Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES TREATED MALE ,TOTAL CASES TREATED FEMALE,TOTAL CASES TREATED ,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Year,Incidence_Rate,POPULATION DENSITY
Karamoja,Abim District,6,7,13,16161,9062,25223,16507,8054,24561,9159,7466,16625,16596,15192,31788,6,7,13,15941,8960,24901,16012,7903,23915,16378,14986,31364,9108,7364,16472,96665,6,7,13,15519,8695,24214,15792,7814,23606,16100,14701,30801,8892,7150,16042,666,1106,1772,38367,56309,94676,58429,39781,98210,16602,15199,31801,2301,128376.1239,55.79144888,2.7067,33.6595,2020,752.982697,55.79144889
Acholi,Acholi,316,338,654,365422,214763,580185,456269,123147,579416,174675,139233,313908,195330,185351,380681,240,346,586,354788,208230,563018,306889,113844,420733,188319,178319,366638,169672,134902,304574,1655549,243,404,647,349646,207335,556981,303590,111847,415437,199045,176002,375047,167445,132943,300388,10653,20859,31512,628531,1019969,1648500,1192012,662832,1854844,195646,185689,381335,28522,1806585.489,63.34007043,0,0,2020,916.3967109,63.34007044
West Nile,Adjumani District,14,10,24,68996,51991,120987,60160,28387,88547,39961,33652,73613,44368,43281,87649,20,8,28,66330,49125,115455,56705,27383,84088,42505,42053,84558,38666,32191,70857,354986,10,7,17,63988,47276,111264,53973,26342,80315,41805,39693,81498,37330,121192,158522,1519,3234,4753,234510,197106,431616,213499,157321,370820,44382,43291,87673,2301,128376.1239,55.79144888,3.2549,31.7195,2020,2765.202666,55.79144889
Acholi,Agago District,46,66,112,66256,39123,105379,58935,20260,79195,31103,23984,55087,34995,32884,67879,44,64,108,65144,38505,103649,57225,19666,76891,34509,32382,66891,30715,23654,54369,301908,44,203,247,64246,38048,102294,56111,19373,75484,34253,31917,66170,30185,23291,53476,1379,2835,4214,112832,184839,297671,191335,116317,307652,35041,32950,67991,3493,272582.3933,78.0367573,2.9251,0,2020,1107.584376,78.03675731
Lango,Alebtong District,3,5,8,7110,3851,10961,9974,3515,13489,3936,3217,7153,4529,4269,8798,2,4,6,7103,3842,10945,9932,3491,13423,4548,4271,8819,3955,3232,7187,40380,2,3,5,6967,3819,10786,9867,3455,13322,4503,4243,8746,3932,3214,7146,358,698,1056,14734,25271,40005,25552,14857,40409,4532,4274,8806,1534,259635.4412,169.253873,2.2914,33.2139,2020,155.5257626,169.253873
Lango,Amolatar District,0,0,0,8194,5035,13229,9912,4633,14545,4170,3657,7827,3888,3812,7700,0,0,0,8101,4999,13100,9604,4548,14152,3789,3721,7510,4154,3645,7799,42561,0,0,0,7932,4932,12864,9420,4431,13851,3717,3669,7386,4089,3578,7667,310,567,877,16610,25158,41768,26164,17137,43301,3888,3812,7700,1163,170846.7994,146.9018051,1.6054,32.8084,2020,249.1179241,146.9018052
Karamoja,Amudat District,8,5,13,3393,2496,5889,5021,1883,6904,3100,2837,5937,4398,4221,8619,7,5,12,3315,2450,5765,4661,1814,6475,4306,4131,8437,3021,2798,5819,26508,117,5,122,3081,2275,5356,4305,1639,5944,3999,3791,7790,2826,2618,5444,109,351,460,10328,14328,24656,15920,11442,27362,4406,4226,8632,1616,156566.9591,96.88549447,1.7916,34.9066,2020,169.3077527,96.88549449
Teso,Amuria District,25,16,41,29332,13402,42734,28794,9516,38310,14675,10605,25280,14631,13490,28121,18,11,29,29204,13284,42488,28411,9416,37827,14521,13353,27874,14628,10543,25171,133389,16,11,27,27816,12465,40281,26605,8870,35475,13551,12556,26107,13665,9886,23551,1108,2364,3472,43788,81653,125441,87457,47029,134486,14656,13506,28162,1383,221713.2959,160.3133014,2.0302,33.6428,2020,601.6283302,160.3133014
Acholi,Amuru District,33,30,63,37953,20401,58354,162960,12131,175091,17700,13944,31644,21552,20437,41989,31,29,60,37394,20262,57656,32532,11886,44418,21450,20254,41704,17640,13880,31520,175358,31,29,60,36832,22016,58848,31881,11851,43732,21180,20008,41188,17416,13709,31125,1290,2235,3525,67613,107340,174953,240198,66943,307141,21585,20467,42052,3619,221144.9495,61.10664534,3.1042,32.0837,2020,792.9550297,61.10664534
Ankole,Ankole,132,117,249,91896,75326,167222,145190,97333,242523,46632,40424,87056,43372,39014,82386,117,101,218,87663,72075,159738,134654,90194,224848,40868,36806,77674,44096,38113,82209,544687,103,80,183,84882,69892,154774,131834,87036,218870,39664,35677,75341,42693,36898,79591,1439,4481,5920,229583,299176,528759,327222,252214,579436,43504,39131,82635,15067,3304662.45,219.3311509,0,0,2020,164.8237931,219.3311509
