dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19 YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS-4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE,20+  (B/S &RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt?=P0?×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
MASAKA,Masaka,"335,700",335700.0,MASAKA,MASAKA,MASAKA,MASAKA,MASAKA,MASAKA,South Central,Masaka District,7,4,11,2127,1811,3938,3356,2209,5565,965,884,1849,935,837,1772,7,4,11,2127,1811,3938,3356,2186,5542,935,837,1772,965,882,1847,13110,7,4,11,2099,1794,3893,3289,2159,5448,913,826,1739,959,878,1837,69,172,241,7390,5745,13135,942,841,1783,106626.0,115455.0,855.0,1.007987074,112732.1675,131.8504883,0.4464,31.9018,116.29333748062636,MASAKA,0.5345251906413787,1.6363371399545648,0.012,3,True,-0.7137599548135682,0.015,False,True
BUTEBO,Butebo,"121,200",121200.0,PALLISA,BUTEBO,BUTEBO,BUTEBO,BUTEBO,BUTEBO,Bukedi,Butebo District,26,27,53,10547,4945,15492,14872,4859,19731,8377,6177,14554,9502,8436,17938,26,27,53,10508,4931,15439,14782,4839,19621,9486,8408,17894,8362,6165,14527,67534,25,27,52,10088,4432,14520,14387,4409,18796,9103,8134,17237,7668,5574,13242,275,768,1043,43324,24444,67768,9528,8463,17991,111762.0,171433.0,236.0,1.043710436,150783.683,638.9139111,1.2393,33.83,447.8866589297995,BUTEBO,0.03726984146751979,0.2879816820079715,0.307,1,False,0.09447426858437954,0.303,False,False
ALEBTONG,Alebtong,"266,100",266100.0,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,Lango,Alebtong District,50,32,82,18176,8163,26339,24600,6883,31483,11431,8883,20314,15520,14135,29655,50,32,82,18108,8111,26219,24420,6816,31236,15491,14097,29588,11399,8848,20247,107372,49,32,81,17935,8038,25973,24143,6728,30871,15231,13818,29049,11292,8757,20049,1121,2262,3383,69777,38096,107873,15570,14167,29737,227541.0,283509.0,1534.0,1.022234935,265408.4183,173.0172218,2.2914,33.2139,404.5538596241278,ALEBTONG,0.042549620779139076,0.4802512979991582,0.237,1,False,0.1683740419813785,0.251,False,False
TORORO,Tororo,"597,500",597500.0,TORORO,TORORO,TORORO,TORORO,TORORO,TORORO,Bukedi,Tororo District,73,68,141,27118,16603,43721,37366,15950,53316,19424,15987,35411,24174,22213,46387,71,65,136,26638,16386,43024,36478,15411,51889,23623,21696,45319,19196,15820,35016,175384,73,66,139,26325,16214,42539,35868,15093,50961,23432,21523,44955,18981,15677,34658,1179,2094,3273,108155,70821,178976,24247,22281,46528,1881415.0,2372489.0,4504.0,1.023462561,2213035.221,491.3488502,0.3886,30.3436,79.25043322209285,TORORO,0.06944765741268585,0.17884200885744642,0.48,3,False,-0.08515589321910047,0.499,False,False
MOROTO,Moroto,"118,500",118500.0,MOROTO,MOROTO,MOROTO,MOROTO,MOROTO,MOROTO,Karamoja,Moroto District,24,14,38,6376,4283,10659,9307,5497,14804,4032,3576,7608,11351,11032,22383,22,14,36,5909,3832,9741,7822,4776,12598,10750,10422,21172,3831,3306,7137,50684,19,14,33,5932,3941,9873,8238,4992,13230,10717,10426,21143,3851,3452,7303,168,470,638,31090,24402,55492,11375,11046,22421,103432.0,103639.0,3533.0,1.000199951,103576.8565,29.31697043,2.7495,34.5971,489.3371136437222,MOROTO,0.05182591116954949,0.29966860886485364,0.309,1,False,0.09787374730906605,0.305,False,False
KAGADI,Kagadi,"430,200",430200.0,KIBAALE,KAGADI,KAGADI,KAGADI,KAGADI,KAGADI,Bunyoro,Kagadi District,12,12,24,11592,7575,19167,17745,10011,27756,6131,4824,10955,7282,6993,14275,9,9,18,10853,7197,18050,17125,9301,26426,6810,6145,12955,5718,4513,10231,67680,8,10,18,10751,7080,17831,16184,9197,25381,6431,5947,12378,5683,4411,10094,1018,1712,2730,42762,29415,72177,7294,7005,14299,351033.0,471111.0,1420.0,1.029858434,431311.1198,303.7402252,0.95,30.8,156.9168910631921,KAGADI,0.35619552429529255,1.4697050236136184,0.025,3,True,-0.5856718100944969,0.021,False,True
KAMULI,Kamuli,"558,500",558500.0,KAMULI,KAMULI,KAMULI,KAMULI,KAMULI,KAMULI,Busoga,Kamuli District,33,9,42,42587,23236,65823,73779,34521,108300,26376,19245,45621,50512,41748,92260,30,9,39,41998,22829,64827,72275,33746,106021,49326,40781,90107,25972,18905,44877,305871,30,9,39,40923,22280,63203,70424,32906,103330,47711,39696,87407,25316,18326,43642,4123,7284,11407,193287,118759,312046,50545,41757,92302,486319.0,540252.0,1515.0,1.01057259,523472.4615,345.5263772,0.9187,33.1239,584.311539758047,KAMULI,0.09972132200530469,0.2585053762591414,0.316,1,False,0.11937290693428527,0.32,False,False
BUDAKA,Budaka,"253,100",253100.0,BUDAKA,BUDAKA,BUDAKA,BUDAKA,BUDAKA,BUDAKA,Bukedi,Budaka District,13,5,18,11742,4857,16599,16516,3826,20342,10501,7745,18246,15551,13566,29117,13,5,18,11693,4828,16521,16379,3765,20144,15500,13487,28987,10417,7722,18139,83809,13,5,18,11493,4743,16236,16128,3712,19840,15173,13222,28395,10284,7592,17876,776,1520,2296,54323,29999,84322,15564,13571,29135,207597.0,281537.0,410.0,1.030935371,256945.5833,626.6965447,1.1005,34.0196,326.1741218651257,BUDAKA,-0.00554717841620638,-0.5847938391741295,0.208,2,False,0.2836534699948762,0.214,False,False
MARACHA,Maracha,"208,300",208300.0,MARACHA,MARACHA,MARACHA,MARACHA,MARACHA,MARACHA,West Nile,Maracha District,141,145,286,29893,14789,44682,31336,8763,40099,18253,12694,30947,17323,15948,33271,141,144,285,28339,14017,42356,29445,8309,37754,16241,15010,31251,17309,12028,29337,140983,141,144,285,29077,14408,43485,30223,8613,38836,16946,15625,32571,17806,12370,30176,1576,4039,5615,96946,52339,149285,17464,16093,33557,186134.0,234712.0,440.0,1.023460199,218938.6415,497.5878216,3.2873,30.9403,643.9384068252748,MARACHA,0.5610594316164328,0.794047354710483,0.157,1,False,0.5223211106165624,0.162,False,False
BUIKWE,Buikwe,"474,100",474100.0,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,North Central,Buikwe District,44,18,62,17115,14064,31179,31039,20409,51448,11158,8763,19921,15491,13924,29415,36,17,53,15945,11256,27201,27397,18939,46336,14442,12928,27370,10618,8344,18962,119922,35,17,52,15735,11142,26877,26983,18625,45608,14258,12766,27024,10496,8224,18720,983,2238,3221,74847,57178,132025,15535,13942,29477,422771.0,520158.0,1270.0,1.020946558,488794.4368,384.8775093,0.2827,0.0,245.34239952708072,BUIKWE,0.02334898754945245,0.1644952279372425,0.491,3,False,-0.0792452219254846,0.49,False,False
