dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
MASAKA,Masaka,"335,700",335700.0,MASAKA,MASAKA,MASAKA,MASAKA,MASAKA,MASAKA,South Central,Masaka District,4,5,9,4425,4166,8591,4590,3225,7815,2250,2202,4452,1755,1723,3478,4,5,9,4432,4200,8632,4611,3202,7813,1764,1708,3472,2296,2205,4501,24427,4,5,9,4427,4194,8621,4611,3202,7813,1756,1723,3479,2304,2202,4506,73,293,366,13024,11321,24345,1759,1728,3487,106626.0,115455.0,855.0,1.007987074,113632.5676,132.9035878,0.4464,31.9018,214.96478092430257,MASAKA,0.4827056150900145,1.6948318452584228,0.025,3,True,-0.7128277916324799,0.014,False,True
BUTEBO,Butebo,"121,200",121200.0,PALLISA,BUTEBO,BUTEBO,BUTEBO,BUTEBO,BUTEBO,Bukedi,Butebo District,22,19,41,15890,8270,24160,18175,5782,23957,9867,7394,17261,11639,10355,21994,21,19,40,15829,8227,24056,18062,5723,23785,11567,10259,21826,9804,7330,17134,86841,12,17,29,15385,8046,23431,17067,5505,22572,10998,9838,20836,9408,6952,16360,381,713,1094,55593,31820,87413,11661,10374,22035,111762.0,171433.0,236.0,1.043710436,157374.5036,666.8411168,1.2393,33.83,551.811113067746,BUTEBO,0.19774831065545165,1.5456417276586614,0.064,1,False,0.5534810505738319,0.09,False,False
ALEBTONG,Alebtong,"266,100",266100.0,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,Lango,Alebtong District,37,33,70,24525,11600,36125,32950,8406,41356,14516,11030,25546,21087,19353,40440,35,32,67,24524,11600,36124,32952,8394,41346,21087,19353,40440,14516,11030,25546,143523,35,32,67,24156,11433,35589,32709,8262,40971,20824,19086,39910,14181,10852,25033,1438,3262,4700,93115,50422,143537,21124,19386,40510,227541.0,283509.0,1534.0,1.022234935,271309.7571,176.8642484,2.2914,33.2139,529.0005104648704,ALEBTONG,0.11183252954771752,1.1103177235166912,0.108,1,False,0.38977001016683616,0.138,False,False
TORORO,Tororo,"597,500",597500.0,TORORO,TORORO,TORORO,TORORO,TORORO,TORORO,Bukedi,Tororo District,71,45,116,66397,41640,108037,78921,29027,107948,46064,38475,84539,55333,48024,103357,77,43,120,61339,37755,99094,74758,27162,101920,67345,45265,112610,42597,35161,77758,391502,70,43,113,64710,39984,104694,76210,28353,104563,52526,47734,100260,44885,36990,81875,2101,4111,6212,246786,157211,403997,55404,48069,103473,1881415.0,2372489.0,4504.0,1.023462561,2264958.695,502.8771526,0.3886,30.3436,172.8517172804337,TORORO,0.04451145197164624,0.08941380786859479,0.498,3,False,-0.06089048063154883,0.5,False,False
MOROTO,Moroto,"118,500",118500.0,MOROTO,MOROTO,MOROTO,MOROTO,MOROTO,MOROTO,Karamoja,Moroto District,75,102,177,6411,4697,11108,8331,4748,13079,4607,4077,8684,9755,9174,18929,75,102,177,6221,4566,10787,7892,4453,12345,9599,8961,18560,4278,3800,8078,49947,75,102,177,6090,4472,10562,7715,4363,12078,9354,8816,18170,4149,3663,7812,197,709,906,29179,22798,51977,9830,9276,19106,103432.0,103639.0,3533.0,1.000199951,103597.5669,29.3228324,2.7495,34.5971,482.1252225760526,MOROTO,-0.04378965271903393,-0.7371177421133172,0.219,4,False,-0.3040438530379448,0.228,False,False
KAGADI,Kagadi,"430,200",430200.0,KIBAALE,KAGADI,KAGADI,KAGADI,KAGADI,KAGADI,Bunyoro,Kagadi District,47,38,85,16364,10586,26950,20845,11151,31996,8507,6571,15078,9744,8772,18516,35,28,63,15572,10305,25877,19698,10472,30170,9362,8267,17629,8164,6272,14436,88175,37,28,65,15108,10029,25137,19071,10102,29173,9236,8153,17389,7978,6161,14139,914,1924,2838,55507,37118,92625,9791,8810,18601,351033.0,471111.0,1420.0,1.029858434,444189.3943,312.8094326,0.95,30.8,198.50766617009253,KAGADI,0.4069282038043984,1.417613921958506,0.05,3,False,-0.5608601174272497,0.045,False,True
KAMULI,Kamuli,"558,500",558500.0,KAMULI,KAMULI,KAMULI,KAMULI,KAMULI,KAMULI,Busoga,Kamuli District,240,119,359,43916,25789,69705,70570,31099,101669,29392,22370,51762,52063,43886,95949,213,116,329,43598,25489,69087,69445,30719,100164,51666,43570,95236,28992,22016,51008,315824,209,116,325,42457,24788,67245,67738,29806,97544,50813,42989,93802,28287,21714,50001,4040,8197,12237,196181,123263,319444,52303,44005,96308,486319.0,540252.0,1515.0,1.01057259,529006.9212,349.1794859,0.9187,33.1239,597.0129828993247,KAMULI,-0.0875496424336218,-0.3174056035108469,0.408,4,False,-0.17189193301155184,0.407,False,False
BUDAKA,Budaka,"253,100",253100.0,BUDAKA,BUDAKA,BUDAKA,BUDAKA,BUDAKA,BUDAKA,Bukedi,Budaka District,39,19,58,27195,13972,41167,35869,10213,46082,20956,16406,37362,30450,27405,57855,41,19,60,27198,13954,41152,35851,10208,46059,30315,28250,58565,20877,16338,37215,183051,38,17,55,26234,13352,39586,34437,9899,44336,28867,26003,54870,19935,15661,35596,1910,4335,6245,114509,68015,182524,30489,27424,57913,207597.0,281537.0,410.0,1.030935371,264894.2904,646.0836351,1.1005,34.0196,691.034146955702,BUDAKA,0.5338464755044328,1.6086393239961725,0.055,1,False,0.6831869257773592,0.072,False,False
MARACHA,Maracha,"208,300",208300.0,MARACHA,MARACHA,MARACHA,MARACHA,MARACHA,MARACHA,West Nile,Maracha District,2,3,5,31883,18068,49951,32149,9970,42119,18232,13341,31573,15428,13973,29401,2,4,6,31762,18022,49784,31905,9924,41829,15272,13933,29205,18202,13299,31501,152325,2,3,5,31149,17661,48810,31789,9726,41515,15056,13621,28677,17842,13025,30867,1816,4033,5849,97694,55355,153049,15430,13976,29406,186134.0,234712.0,440.0,1.023460199,224074.9857,509.2613311,3.2873,30.9403,679.794754975187,MARACHA,0.18512403272220926,0.47280689251105223,0.26,1,False,0.2512510126319217,0.265,False,False
BUIKWE,Buikwe,"474,100",474100.0,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,North Central,Buikwe District,76,61,137,20672,16160,36832,30087,20703,50790,14009,11792,25801,15731,14185,29916,46,48,94,19713,15540,35253,28285,19889,48174,14924,13513,28437,13420,11273,24693,136651,48,47,95,19678,15504,35182,28070,19819,47889,14883,13748,28631,13417,11275,24692,1077,2773,3850,80575,62901,143476,15807,14246,30053,422771.0,520158.0,1270.0,1.020946558,499032.9978,392.9393684,0.2827,0.0,273.83159150282546,BUIKWE,0.17129300707133693,0.780132148382967,0.212,3,False,-0.3459074603619031,0.204,False,False
