dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt?=P0?×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
MASAKA,Masaka,"335,700",335700.0,MASAKA,MASAKA,MASAKA,MASAKA,MASAKA,MASAKA,South Central,Masaka District,12,8,20,2470,2461,4931,3144,2134,5278,1399,1242,2641,1034,1018,2052,12,8,20,2470,2456,4926,3132,2086,5218,1039,1017,2056,1391,1241,2632,14852,12,8,20,2480,2456,4936,3132,2088,5220,1038,1015,2053,1391,1241,2632,84,241,325,8059,6863,14922,1046,1026,2072,106626.0,115455.0,855.0,1.007987074,114540.1593,133.9650986,0.4464,31.9018,129.66631171779767,MASAKA,0.5572043303863632,1.6095222520544337,0.014,3,True,-0.7004961736337928,0.021,False,True
BUTEBO,Butebo,"121,200",121200.0,PALLISA,BUTEBO,BUTEBO,BUTEBO,BUTEBO,BUTEBO,Bukedi,Butebo District,14,14,28,6967,3646,10613,8009,2987,10996,4012,2929,6941,5005,4520,9525,13,13,26,6908,3620,10528,7899,2969,10868,4983,4505,9488,3991,2912,6903,37813,13,13,26,6574,3460,10034,7426,2780,10206,4699,4271,8970,3816,2800,6616,280,590,870,24007,14096,38103,5019,4534,9553,111762.0,171433.0,236.0,1.043710436,164253.4117,695.9890328,1.2393,33.83,230.21135213351553,BUTEBO,-0.15854359383690161,-0.8721847817674959,0.159,2,False,0.3668332677526503,0.141,False,False
ALEBTONG,Alebtong,"266,100",266100.0,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,Lango,Alebtong District,9,16,25,19726,9110,28836,24342,6595,30937,9321,7031,16352,12591,11506,24097,9,16,25,19725,9110,28835,24360,6590,30950,12562,11484,24046,9319,7031,16350,100206,9,16,25,19530,9044,28574,24079,6525,30604,12466,11391,23857,9231,6979,16210,1586,3373,4959,65989,34258,100247,12600,11522,24122,227541.0,283509.0,1534.0,1.022234935,277342.3118,180.7968134,2.2914,33.2139,361.3080144520523,ALEBTONG,0.025052707416891182,0.9853679466832841,0.142,1,False,0.4128162062976001,0.123,False,False
TORORO,Tororo,"597,500",597500.0,TORORO,TORORO,TORORO,TORORO,TORORO,TORORO,Bukedi,Tororo District,79,65,144,34001,21197,55198,40527,16890,57417,19119,15442,34561,23371,22624,45995,73,64,137,30628,19000,49628,37024,15565,52589,21102,19316,40418,16976,13824,30800,173572,64,57,121,32676,20350,53026,38586,16165,54751,22300,20174,42474,18267,15022,33289,1576,3374,4950,117097,76218,193315,23450,22689,46139,1881415.0,2372489.0,4504.0,1.023462561,2318100.427,514.6759385,0.3886,30.3436,74.87682499788436,TORORO,0.2123264136796843,0.5665617046074941,0.312,3,False,-0.21877600338463404,0.348,False,False
MOROTO,Moroto,"118,500",118500.0,MOROTO,MOROTO,MOROTO,MOROTO,MOROTO,MOROTO,Karamoja,Moroto District,26,21,47,4900,3504,8404,5862,3540,9402,2868,2646,5514,6400,6354,12754,23,15,38,4861,3487,8348,5812,3431,9243,6372,6325,12697,2850,2635,5485,35811,23,15,38,4804,3426,8230,5698,3372,9070,6306,6257,12563,2815,2602,5417,164,547,711,20056,16065,36121,6426,6375,12801,103432.0,103639.0,3533.0,1.000199951,103618.2814,29.32869555,2.7495,34.5971,345.6050372207775,MOROTO,-0.0002552226661007392,-0.3205544061337485,0.425,4,False,-0.12051484159392306,0.45,False,False
KAGADI,Kagadi,"430,200",430200.0,KIBAALE,KAGADI,KAGADI,KAGADI,KAGADI,KAGADI,Bunyoro,Kagadi District,39,37,76,9228,5618,14846,12449,6363,18812,4049,3332,7381,4859,4491,9350,35,34,69,8763,5321,14084,11560,5898,17458,4385,4084,8469,3777,3056,6833,46913,37,36,73,8785,5316,14101,11579,5962,17541,4378,4245,8623,3726,3112,6838,737,1829,2566,30624,19841,50465,4898,4528,9426,351033.0,471111.0,1420.0,1.029858434,457452.1939,322.1494324,0.95,30.8,102.55279267554519,KAGADI,0.5629598502810544,1.5742756505248054,0.012,3,True,-0.6303706032089494,0.028,False,True
KAMULI,Kamuli,"558,500",558500.0,KAMULI,KAMULI,KAMULI,KAMULI,KAMULI,KAMULI,Busoga,Kamuli District,52,29,81,38353,23125,61478,64808,32288,97096,23982,18503,42485,34056,28865,62921,48,29,77,38179,23031,61210,64485,32138,96623,33705,28725,62430,23911,18422,42333,262673,45,29,74,37022,22353,59375,62868,31005,93873,32382,27761,60143,23071,17743,40814,3536,7710,11246,161251,102810,264061,34108,28894,63002,486319.0,540252.0,1515.0,1.01057259,534599.8945,352.8712175,0.9187,33.1239,491.3450277532742,KAMULI,0.018767787563548792,0.07632902392705665,0.396,1,False,0.03844225829717015,0.395,False,False
BUDAKA,Budaka,"253,100",253100.0,BUDAKA,BUDAKA,BUDAKA,BUDAKA,BUDAKA,BUDAKA,Bukedi,Budaka District,22,17,39,16865,8492,25357,19743,6177,25920,9580,7526,17106,14680,13280,27960,22,17,39,16931,8486,25417,19515,6112,25627,14619,13232,27851,9562,7512,17074,96008,21,17,38,16399,8241,24640,19091,5878,24969,14205,12885,27090,9310,7339,16649,1429,3250,4679,60890,35492,96382,14702,13297,27999,207597.0,281537.0,410.0,1.030935371,273088.8936,666.0704723,1.1005,34.0196,351.56318052474614,BUDAKA,0.0076598823986659586,0.6363954395359809,0.2,1,False,0.3145494942212584,0.195,False,False
MARACHA,Maracha,"208,300",208300.0,MARACHA,MARACHA,MARACHA,MARACHA,MARACHA,MARACHA,West Nile,Maracha District,2,4,6,27577,16210,43787,23836,8258,32094,14749,10368,25117,11648,10569,22217,2,4,6,27560,16205,43765,23793,8238,32031,11644,10553,22197,14747,10363,25110,123109,2,3,5,25692,15319,41011,22227,8253,30480,10898,9875,20773,14103,9797,23900,1880,4149,6029,77812,45409,123221,11650,10573,22223,186134.0,234712.0,440.0,1.023460199,229331.8295,521.2087035,3.2873,30.9403,536.8160201242367,MARACHA,0.12343268593362723,0.31847633244417467,0.281,1,False,0.1780078837560871,0.292,False,False
BUIKWE,Buikwe,"474,100",474100.0,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,North Central,Buikwe District,45,29,74,17694,14199,31893,25327,18444,43771,11219,9454,20673,12187,10953,23140,43,27,70,16559,13368,29927,22924,17217,40141,11319,10135,21454,10636,8970,19606,111198,41,26,67,16043,13160,29203,22209,16799,39008,10682,9675,20357,10241,8677,18918,921,2402,3323,66472,53079,119551,12232,10982,23214,422771.0,520158.0,1270.0,1.020946558,509486.0215,401.1700957,0.2827,0.0,218.25525197456278,BUIKWE,0.13508111372661188,0.6632312270755737,0.271,3,False,-0.28907749976815994,0.282,False,False
